	info-grid-meteo	info-grid-meteo	info-grid-meteo	info-grid-meteo	info-grid-meteo	info-grid-meteo	info-grid-sortie	info-grid-sortie	info-grid-sortie	info-grid-sortie	info-grid-sortie	info-grid-sortie
Buffer	Nx	Ny	xmin	xmax	ymin	ymax	Nx	Ny	xmin	xmax	ymin	ymax
50	2	2	151069	151169	168249	168349	10	10	151074	151164	168254	168344
100	3	3	151019	151219	168199	168399	20	20	151024	151214	168204	168394
200	5	5	150919	151319	168099	168499	40	40	150924	151314	168104	168494
400	9	9	150719	151519	167899	168699	80	80	150724	151514	167904	168694
600	13	13	150519	151719	167699	168899	120	120	150524	151714	167704	168894
800	17	17	150319	151919	167499	169099	160	160	150324	151914	167504	169094
1000	21	21	150119	152119	167299	169299	200	200	150124	152114	167304	169294
1200	25	25	149919	152319	167099	169499	240	240	149924	152314	167104	169494
1400	29	29	149719	152519	166899	169699	280	280	149724	152514	166904	169694
1600	33	33	149519	152719	166699	169899	320	320	149524	152714	166704	169894
BX	163	196	141919	158119	159199	178699	1620	1941	141924	158114	159204	178604
